orig_idx,true_label,pred_label,conf,defect_ratio,edge_bias,cluster_score,isolated_ratio,mean_neighbors,random_like,blob_like,cluster_like,severity
810073,[['Near-full']],[['Near-full']],0.9999929666519165,1.0,0.0,1.0,0.0,7.777848302126309,0,1,1,98.88910659683334
652736,[['Near-full']],[['Near-full']],0.9999938011169434,1.0,0.0,1.0,0.0,7.778063686072692,0,1,1,98.88910585523175
759074,[['Near-full']],[['Near-full']],0.999994158744812,1.0,0.0,1.0,0.0,7.785872663921444,0,1,1,98.88910553740233
733946,[['Near-full']],[['Near-full']],0.999994158744812,1.0,0.0,1.0,0.0,7.7823769206647855,0,1,1,98.88910553740233
643912,[['Near-full']],[['Near-full']],0.9999942779541016,1.0,0.0,1.0,0.0,7.781278962001854,0,1,1,98.88910543145919
3980,[['Near-full']],[['Near-full']],0.9999942779541016,1.0,0.0,1.0,0.0,7.781278962001854,0,1,1,98.88910543145919
4297,[['Near-full']],[['Near-full']],0.9999942779541016,1.0,0.0,1.0,0.0,7.781278962001854,0,1,1,98.88910543145919
712834,[['Near-full']],[['Near-full']],0.9999948740005493,1.0,0.0,1.0,0.0,7.774647887323944,0,1,1,98.88910490174324
767647,[['Near-full']],[['Near-full']],0.9999948740005493,1.0,0.0,1.0,0.0,7.78752,0,1,1,98.88910490174324
745348,[['Near-full']],[['Near-full']],0.999995231628418,1.0,0.0,1.0,0.0,7.775366943203574,0,1,1,98.88910458391355
749104,[['Near-full']],[['Near-full']],0.999995231628418,1.0,0.0,1.0,0.0,7.775366943203574,0,1,1,98.88910458391355
752924,[['Near-full']],[['Near-full']],0.9999959468841553,1.0,0.0,1.0,0.0,7.684072249589491,0,1,1,98.88910394825392
794205,[['Near-full']],[['Near-full']],0.9999959468841553,1.0,0.0,1.0,0.0,7.77116704805492,0,1,1,98.88910394825392
752345,[['Near-full']],[['Near-full']],0.9999966621398926,1.0,0.0,1.0,0.0,7.697484482195361,0,1,1,98.88910331259392
6340,[['Near-full']],[['Near-full']],0.9999946355819702,0.9987642879209144,0.0012360939431397266,1.0,0.0,7.774822146613053,0,1,1,98.88690705700236
643830,[['Near-full']],[['Near-full']],0.9999946355819702,0.9987642879209144,0.0012360939431397266,1.0,0.0,7.774822146613053,0,1,1,98.88690705700236
731778,[['Near-full']],[['Near-full']],0.9999943971633911,0.9987456883035434,0.0,1.0,0.0,7.775824175824176,0,1,1,98.88519692332252
654973,[['Near-full']],[['Near-full']],0.9999936819076538,0.9974268253457703,0.0,1.0,0.0,7.771041599484038,0,1,1,98.88107319003532
700565,[['Near-full']],[['Near-full']],0.9999958276748657,0.9942381562099872,0.0,1.0,0.0,7.751448808757244,0,1,1,98.87103643724066
774282,[['Near-full']],[['Near-full']],0.999996542930603,0.9903245942571786,0.0,1.0,0.0,7.73337535455405,0,1,1,98.85859660171384
643738,[['Near-full']],[['Near-full']],0.999995231628418,0.9737411183194316,0.026266996291718137,1.0,0.0,7.680203045685279,0,1,1,98.84144812172276
809008,[['Near-full']],[['Near-full']],0.9999955892562866,0.9845009299442034,0.0,1.0,0.0,7.726070528967254,0,1,1,98.8398328917844
763084,[['Near-full']],[['Near-full']],0.9999955892562866,0.9835286664554957,0.0,1.0,0.0,7.709500805152979,0,1,1,98.83667022207372
249130,[['Near-full']],[['Near-full']],0.999996542930603,0.9830894308943089,0.0,1.0,0.0,7.739331789612967,0,1,1,98.8352377210083
250366,[['Near-full']],[['Near-full']],0.9999961853027344,0.9828500155908949,0.0,1.0,0.0,7.675761421319797,0,1,1,98.83445697933985
247177,[['Near-full']],[['Near-full']],0.9999960660934448,0.9651092233009708,0.03492256301245067,1.0,0.0,7.598239547312166,0,1,1,98.82536890334673
