orig_idx,true_label,pred_label,conf,defect_ratio,edge_bias,cluster_score,isolated_ratio,mean_neighbors,random_like,blob_like,cluster_like,severity,sem_mandatory_random,sem_mandatory_blob,sem_mandatory_cluster,sem_reason,policy_top_percent
810073,[['Near-full']],[['Near-full']],0.9999929666519165,1.0,0.0,1.0,0.0,7.777848302126309,0,1,1,98.88910659683334,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
652736,[['Near-full']],[['Near-full']],0.9999938011169434,1.0,0.0,1.0,0.0,7.778063686072692,0,1,1,98.88910585523175,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
733946,[['Near-full']],[['Near-full']],0.999994158744812,1.0,0.0,1.0,0.0,7.7823769206647855,0,1,1,98.88910553740233,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
759074,[['Near-full']],[['Near-full']],0.999994158744812,1.0,0.0,1.0,0.0,7.785872663921444,0,1,1,98.88910553740233,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
4297,[['Near-full']],[['Near-full']],0.9999942779541016,1.0,0.0,1.0,0.0,7.781278962001854,0,1,1,98.88910543145919,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
3980,[['Near-full']],[['Near-full']],0.9999942779541016,1.0,0.0,1.0,0.0,7.781278962001854,0,1,1,98.88910543145919,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
643912,[['Near-full']],[['Near-full']],0.9999942779541016,1.0,0.0,1.0,0.0,7.781278962001854,0,1,1,98.88910543145919,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
767647,[['Near-full']],[['Near-full']],0.9999948740005493,1.0,0.0,1.0,0.0,7.78752,0,1,1,98.88910490174324,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
712834,[['Near-full']],[['Near-full']],0.9999948740005493,1.0,0.0,1.0,0.0,7.774647887323944,0,1,1,98.88910490174324,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
745348,[['Near-full']],[['Near-full']],0.999995231628418,1.0,0.0,1.0,0.0,7.775366943203574,0,1,1,98.88910458391355,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
749104,[['Near-full']],[['Near-full']],0.999995231628418,1.0,0.0,1.0,0.0,7.775366943203574,0,1,1,98.88910458391355,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
794205,[['Near-full']],[['Near-full']],0.9999959468841553,1.0,0.0,1.0,0.0,7.77116704805492,0,1,1,98.88910394825392,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
752924,[['Near-full']],[['Near-full']],0.9999959468841553,1.0,0.0,1.0,0.0,7.684072249589491,0,1,1,98.88910394825392,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
752345,[['Near-full']],[['Near-full']],0.9999966621398926,1.0,0.0,1.0,0.0,7.697484482195361,0,1,1,98.88910331259392,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
643830,[['Near-full']],[['Near-full']],0.9999946355819702,0.9987642879209144,0.0012360939431397266,1.0,0.0,7.774822146613053,0,1,1,98.88690705700236,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
6340,[['Near-full']],[['Near-full']],0.9999946355819702,0.9987642879209144,0.0012360939431397266,1.0,0.0,7.774822146613053,0,1,1,98.88690705700236,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
731778,[['Near-full']],[['Near-full']],0.9999943971633911,0.9987456883035434,0.0,1.0,0.0,7.775824175824176,0,1,1,98.88519692332252,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
654973,[['Near-full']],[['Near-full']],0.9999936819076538,0.9974268253457703,0.0,1.0,0.0,7.771041599484038,0,1,1,98.88107319003532,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
700565,[['Near-full']],[['Near-full']],0.9999958276748657,0.9942381562099872,0.0,1.0,0.0,7.751448808757244,0,1,1,98.87103643724066,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
774282,[['Near-full']],[['Near-full']],0.999996542930603,0.9903245942571786,0.0,1.0,0.0,7.73337535455405,0,1,1,98.85859660171384,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
643738,[['Near-full']],[['Near-full']],0.999995231628418,0.9737411183194316,0.026266996291718137,1.0,0.0,7.680203045685279,0,1,1,98.84144812172276,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
809008,[['Near-full']],[['Near-full']],0.9999955892562866,0.9845009299442034,0.0,1.0,0.0,7.726070528967254,0,1,1,98.8398328917844,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
763084,[['Near-full']],[['Near-full']],0.9999955892562866,0.9835286664554957,0.0,1.0,0.0,7.709500805152979,0,1,1,98.83667022207372,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
249130,[['Near-full']],[['Near-full']],0.999996542930603,0.9830894308943089,0.0,1.0,0.0,7.739331789612967,0,1,1,98.8352377210083,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
250366,[['Near-full']],[['Near-full']],0.9999961853027344,0.9828500155908949,0.0,1.0,0.0,7.675761421319797,0,1,1,98.83445697933985,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
247177,[['Near-full']],[['Near-full']],0.9999960660934448,0.9651092233009708,0.03492256301245067,1.0,0.0,7.598239547312166,0,1,1,98.82536890334673,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
439565,[['Near-full']],[['Near-full']],0.9999961853027344,0.961703431372549,0.03859215807347949,1.0,0.0,7.545715195922268,0,1,1,98.81932425868686,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
698517,[['Near-full']],[['Near-full']],0.9999957084655762,0.9731113956466069,0.0,1.0,0.0,7.654605263157895,0,1,1,98.80223796474516,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
721584,[['Near-full']],[['Near-full']],0.9999945163726807,0.9448360404535703,0.055231666155262316,1.0,0.0,7.708076548816088,0,1,1,98.78669640091708,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
754941,[['Near-full']],[['Near-full']],0.9999970197677612,0.9438417358008935,0.056194125159642394,1.0,0.0,7.614604462474645,0,1,1,98.78471576054793,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
754940,[['Near-full']],[['Near-full']],0.9999972581863403,0.9310784939374601,0.06896551724137934,1.0,0.0,7.526387936943112,0,1,1,98.75965497259229,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
722305,[['Near-full']],[['Near-full']],0.9999791383743286,0.9304321176831137,0.06965326787358084,1.0,0.0,7.619894598155468,0,1,1,98.75845118355768,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
785759,[['Near-full']],[['Near-full']],0.9999972581863403,0.9551820728291317,0.0,1.0,0.0,7.696969696969697,0,1,1,98.7405713211921,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
694592,[['Near-full']],[['Near-full']],0.999992847442627,0.9544468546637744,0.0,1.0,0.0,7.7668831168831165,0,1,1,98.73798043031134,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
763059,[['Near-full']],[['Near-full']],0.9999959468841553,0.9534368070953437,0.0,1.0,0.0,7.567441860465117,0,1,1,98.73440308097643,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
929,[['Near-full']],[['Near-full']],0.9999967813491821,0.9138090824837812,0.08621755253399255,1.0,0.0,7.4631507775524,0,1,1,98.7248789477152,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
802580,[['Near-full']],[['Near-full']],0.9999936819076538,0.9506374632232756,0.0,1.0,0.0,7.612792297111417,0,1,1,98.72444645862947,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
802395,[['Near-full']],[['Near-full']],0.9999947547912598,0.9499836547891468,0.0,1.0,0.0,7.6015141087405365,0,1,1,98.7221081136438,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
3143,[['Near-full']],[['Near-full']],0.9999979734420776,0.9119555143651529,0.08807169344870214,1.0,0.0,7.447831978319783,0,1,1,98.72109135598322,0,1,1,"mandatory_blob_like,mandatory_cluster_like",0.05
