slice_type,slice_value,count,true_risk_rate,pred_risk_rate,FP_rate,FN_rate,avg_risk_score,tp,fp,fn,tn
technology_node,10nm,55,0.01818181818181818,0.01818181818181818,0.018518518518175583,0.9999999989999999,0.21845385963636363,0,1,1,53
technology_node,22nm,17,0.35294117647058826,0.23529411764705882,0.2727272727024793,0.8333333331944445,0.5545069976470588,1,3,5,8
etch_tool,ETCH_03,34,0.14705882352941177,0.08823529411764706,0.06896551723900118,0.79999999984,0.34526751058823524,1,2,4,27
litho_tool,LITHO_04,67,0.1791044776119403,0.16417910447761194,0.14545454545190084,0.7499999999375,0.38381441691542284,3,8,9,47
product_type,FPGA,47,0.2127659574468085,0.1702127659574468,0.13513513513148284,0.69999999993,0.40336778865248224,3,5,7,32
deposition_tool,DEP_03,63,0.19047619047619047,0.15873015873015872,0.11764705882122262,0.6666666666111111,0.3999316488888888,4,6,8,45
implant_tool,IMP_03,52,0.11538461538461539,0.09615384615384616,0.06521739130293006,0.6666666665555555,0.33913919,2,3,4,43
implant_tool,IMP_02,50,0.26,0.2,0.13513513513148284,0.6153846153372781,0.44375341919999994,5,5,8,32
deposition_tool,DEP_02,42,0.2857142857142857,0.21428571428571427,0.1333333333288889,0.5833333332847223,0.42050252666666665,5,4,7,26
etch_tool,ETCH_05,36,0.19444444444444445,0.16666666666666666,0.10344827585850179,0.5714285713469388,0.4025839548148148,3,3,4,26
etch_tool,ETCH_01,31,0.22580645161290322,0.0967741935483871,0.0,0.5714285713469388,0.3380209939784946,3,0,4,24
litho_tool,LITHO_02,37,0.24324324324324326,0.24324324324324326,0.178571428565051,0.5555555554938272,0.4967651632432432,4,5,5,23
etch_tool,ETCH_02,57,0.19298245614035087,0.22807017543859648,0.17391304347448017,0.5454545454049586,0.4466867249122807,5,8,6,38
product_type,ASIC,28,0.35714285714285715,0.32142857142857145,0.22222222220987653,0.49999999995,0.525023770952381,5,4,5,14
product_type,Memory,44,0.18181818181818182,0.22727272727272727,0.16666666666203706,0.4999999999375,0.44911661484848486,4,6,4,30
product_type,CPU,38,0.10526315789473684,0.10526315789473684,0.05882352941003461,0.499999999875,0.28734600035087715,2,2,2,32
technology_node,28nm,48,0.3541666666666667,0.3541666666666667,0.2580645161207076,0.470588235266436,0.5603705727777778,9,8,8,23
technology_node,14nm,43,0.37209302325581395,0.4186046511627907,0.33333333332098763,0.43749999997265626,0.5636096626356589,9,9,7,18
implant_tool,IMP_01,98,0.21428571428571427,0.25510204081632654,0.1688311688289762,0.42857142855102043,0.4245366842176871,12,13,9,64
litho_tool,LITHO_01,55,0.12727272727272726,0.12727272727272726,0.062499999998697923,0.4285714285102041,0.3471300596363636,4,3,3,45
deposition_tool,DEP_01,95,0.16842105263157894,0.22105263157894736,0.13924050632735138,0.3749999999765625,0.40600740940350877,10,11,6,68
product_type,GPU,43,0.18604651162790697,0.20930232558139536,0.11428571428244899,0.374999999953125,0.3974017017054264,5,4,3,31
litho_tool,LITHO_03,41,0.2926829268292683,0.3170731707317073,0.17241379309750296,0.33333333330555553,0.4448652107317073,8,5,4,24
etch_tool,ETCH_04,42,0.23809523809523808,0.35714285714285715,0.24999999999218753,0.29999999997,0.4584664768253968,7,8,3,24
technology_node,7nm,37,0.0,0.0,0.0,0.0,0.23926809909909905,0,0,0,37
