lot_id,wafer_id,product_type,technology_node,etch_tool,litho_tool,deposition_tool,implant_tool,pressure,temperature,exposure_time,focus_offset,dose,implant_energy,tilt_angle,critical_dimension,oxide_thickness,thickness_uniformity,etch_rate,deposition_rate,yield
LOT_0001,W001,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,149.8086785,66.59537708,1.576151493,0.019829233,1010000000000000.0,49.53052561,6.768291154,21.30140537,55.60490568,1.673486946,3.559737132,2.147921282,0.678783443
LOT_0001,W002,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,147.3526252,66.49544093,1.627974402,0.022971165,1000000000000000.0,50.94743982,6.68222013,20.46767171,54.59561153,1.39994923,3.407015704,1.938456434,0.779965566
LOT_0001,W003,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,151.4843062,66.77693316,1.508568414,0.020421759,1010000000000000.0,49.53936123,7.171809145,19.35543977,55.81020992,1.376031158,3.413745116,1.842147801,0.778491865
LOT_0001,W004,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,142.9592336,67.49929395,1.491113394,0.018948083,990000000000000.0,50.29656138,6.962098127,23.4594453,56.98898866,1.686959084,3.49526301,1.900179206,0.405274555
LOT_0001,W005,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,149.0049632,65.48352155,1.400621554,0.019901641,995000000000000.0,49.1915064,7.457701059,22.49312666,53.67559949,1.416345956,3.526963765,2.137789404,0.935349955
LOT_0001,W006,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,137.2241198,65.99103589,1.480224177,0.019554316,991000000000000.0,47.97768507,7.701979369,21.97217379,50.81623845,1.562987766,3.402918804,1.973393909,0.595223785
LOT_0001,W007,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,144.6566098,67.58564563,1.537596652,0.02495516,1020000000000000.0,50.58685709,6.504731837,21.15055341,55.24912841,1.239629787,3.517223058,2.130279431,0.922864891
LOT_0001,W008,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,153.6027411,64.97812525,1.48058678,0.016572438,1010000000000000.0,50.52644816,8.269581358,21.51326356,54.48533321,1.728772122,3.557887394,2.04561218,0.390798749
LOT_0001,W009,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,146.9282429,69.03154902,1.523691646,0.015043483,992000000000000.0,51.15859558,7.481688065,22.61917139,57.0551504,1.677416921,3.543445798,1.892531833,0.89193945
LOT_0001,W010,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,156.5469099,66.37592001,1.636721108,0.021468827,1000000000000000.0,50.97718,6.931364091,21.81380142,56.85085204,1.327396875,3.547292158,1.986547034,0.656925569
LOT_0001,W012,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,151.6614808,65.65236184,1.442371731,0.013496158,982000000000000.0,49.46533726,7.178652271,21.37820229,55.20049678,1.512072772,3.610845251,1.904407108,0.527344866
LOT_0001,W013,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,147.2419983,69.58788818,1.531695951,0.010874287,999000000000000.0,49.20747926,7.252493639,23.29863279,51.99925898,1.690486667,3.523645747,1.923821354,0.735874552
LOT_0001,W014,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,152.3864813,68.60270197,1.433658412,0.030218579,1000000000000000.0,51.87200568,6.533704172,20.05758629,54.73720374,1.472521608,3.593428956,1.862008027,0.81345544
LOT_0001,W015,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,150.5511653,63.3369827,1.523105174,0.021995298,1010000000000000.0,50.11351735,7.793008408,20.14327675,60.33258344,1.442937281,3.6130531,1.996980208,0.940096967
LOT_0001,W016,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,147.3888142,64.58902272,1.547600555,0.028262751,1010000000000000.0,50.87675465,6.644936021,19.31849258,51.94857474,1.394059829,3.480559925,2.048131413,0.724747461
LOT_0001,W017,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,150.6050192,66.66390594,1.484486662,0.022620832,1020000000000000.0,49.18177932,6.496991309,20.17871708,57.89527718,1.639031405,3.624438305,1.999699596,0.678959799
LOT_0001,W018,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,148.9545375,66.9076261,1.530692067,0.027789404,1010000000000000.0,50.87254159,6.761309135,21.00365884,58.40027842,1.631821841,3.465827063,2.010382273,0.554267169
LOT_0001,W019,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,146.3638453,66.33869303,1.576636946,0.020456199,1000000000000000.0,50.22409248,7.048838049,20.84048532,55.06127544,1.439755906,3.545817485,2.059014399,0.414776704
LOT_0001,W020,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,149.9453403,67.25261825,1.427357527,0.024920032,981000000000000.0,48.18986868,7.181238229,22.85702127,57.42630955,1.726520081,3.53466736,1.854494204,0.668261676
LOT_0001,W021,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,157.2693619,65.07092031,1.561890816,0.013027862,1010000000000000.0,49.54993453,6.466189785,21.78643077,55.30073908,1.529396119,3.382949238,1.99052437,0.747963445
LOT_0001,W022,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,151.0743073,68.40252571,1.508498645,0.026766226,1010000000000000.0,49.73090556,7.438912584,21.34952451,54.1442284,1.315923351,3.460121077,2.006608813,0.758578652
LOT_0001,W023,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,143.5994927,61.89323512,1.497222615,0.022920327,1010000000000000.0,48.6955305,7.183299123,20.59018032,53.71533271,1.502175992,3.650289244,1.78325579,0.574862076
LOT_0001,W025,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,152.0562508,71.45776162,1.555978746,0.020360412,986000000000000.0,49.24364925,6.676713558,20.37767799,59.21785409,1.560692727,3.566124557,1.829355368,0.693014576
LOT_0002,W001,FPGA,22nm,ETCH_02,LITHO_04,DEP_03,IMP_02,149.0596541,64.26319606,1.569786597,0.014451754,996000000000000.0,50.12736548,6.880753316,27.08378019,58.12202121,1.545538186,3.583112803,2.074128458,0.470214914
LOT_0002,W002,FPGA,22nm,ETCH_02,LITHO_04,DEP_03,IMP_02,146.4621817,64.44645734,1.537769561,0.023504586,1010000000000000.0,48.33059472,6.668688121,29.14119734,57.71022253,1.690277425,3.520884156,1.989933231,0.253334921
LOT_0002,W003,FPGA,22nm,ETCH_02,LITHO_04,DEP_03,IMP_02,164.9188871,62.37798878,1.49257243,0.018962699,993000000000000.0,50.77163815,8.216924039,24.45951362,56.90211279,1.761265821,3.407078395,2.056025109,0.404225202
LOT_0002,W004,FPGA,22nm,ETCH_02,LITHO_04,DEP_03,IMP_02,148.9406152,64.62478755,1.478372091,0.022972261,997000000000000.0,50.8711247,7.600606961,27.18384925,53.88562639,1.95508016,3.567008213,2.008977486,0.281080707
LOT_0002,W005,FPGA,22nm,ETCH_02,LITHO_04,DEP_03,IMP_02,155.4620541,65.79124089,1.455759203,0.022434706,1010000000000000.0,49.59962713,7.623663528,29.93184402,60.24616461,1.365038657,3.522471958,2.036893667,0.472160169
LOT_0002,W006,FPGA,22nm,ETCH_02,LITHO_04,DEP_03,IMP_02,148.449918,65.06025013,1.451061814,0.018778534,1010000000000000.0,50.86960592,7.206717452,31.75359163,57.6786324,1.355566935,3.623003196,2.055698862,0.284861772
