row_id,lot_id,wafer_id,feature,impact_strength,feature_value,yield_pred,riskscore,mode,direction,product_type,technology_node,normal_mean,normal_std,diff,pct_diff,z_score,relative_direction
0,LOT_0043,W001,critical_dimension,0.1233041435480117,29.87678267,0.2893292,0.6142277333333334,negative_only,negative,ASIC,14nm,27.874665892,2.309121976360678,2.0021167780000013,7.18256780434732,0.8670467812568382,high
0,LOT_0043,W001,thickness_uniformity,0.0456241369247436,1.983279252,0.2893292,0.6142277333333334,negative_only,negative,ASIC,14nm,1.7539788271866668,0.24342283187801647,0.22930042481333324,13.073158075140118,0.9419840452199477,high
0,LOT_0043,W001,temperature,0.0060380771756172,71.34005275,0.2893292,0.6142277333333334,negative_only,negative,ASIC,14nm,66.85811494746666,2.167014917493093,4.481937802533338,6.703655653450527,2.068254244253198,high
0,LOT_0043,W001,pressure,0.0057217860594391,151.2593803,0.2893292,0.6142277333333334,negative_only,negative,ASIC,14nm,152.72090742133332,5.315300813928948,-1.4615271213333187,-0.9569921669543399,-0.2749660220976328,low
0,LOT_0043,W001,implant_energy,0.0010272730141878,51.2604294,0.2893292,0.6142277333333334,negative_only,negative,ASIC,14nm,50.10507249533333,1.056051778488637,1.155356904666668,2.3058681428935497,1.0940343334548583,high
1,LOT_0009,W010,critical_dimension,0.1406927853822708,26.82369129,0.29599148,0.6053446933333334,negative_only,negative,ASIC,14nm,27.874665892,2.309121976360678,-1.0509746020000001,-3.7703576646776065,-0.45514035737569053,low
1,LOT_0009,W010,thickness_uniformity,0.0307298749685287,1.790971814,0.29599148,0.6053446933333334,negative_only,negative,ASIC,14nm,1.7539788271866668,0.24342283187801647,0.036992986813333184,2.109089700448551,0.15197007764621254,high
1,LOT_0009,W010,oxide_thickness,0.0190197546035051,64.25471635,0.29599148,0.6053446933333334,negative_only,negative,ASIC,14nm,60.52023466133333,3.2839797185108295,3.734481688666662,6.17063319318379,1.1371817147588652,high
1,LOT_0009,W010,temperature,0.0042186761274933,64.35024716,0.29599148,0.6053446933333334,negative_only,negative,ASIC,14nm,66.85811494746666,2.167014917493093,-2.5078677874666653,-3.7510297581672716,-1.1572914270523784,low
1,LOT_0009,W010,focus_offset,0.0030858002137392,0.01755325,0.29599148,0.6053446933333334,negative_only,negative,ASIC,14nm,0.030037575453333337,0.006922705067374605,-0.012484325453333337,-41.56235930927751,-1.8033880583446382,low
2,LOT_0043,W017,critical_dimension,0.116758793592453,28.6228167,0.2509045,0.6654606666666667,negative_only,negative,ASIC,14nm,27.874665892,2.309121976360678,0.7481508080000019,2.6839812569300805,0.32399795910960794,high
2,LOT_0043,W017,thickness_uniformity,0.0530380271375179,2.024532843,0.2509045,0.6654606666666667,negative_only,negative,ASIC,14nm,1.7539788271866668,0.24342283187801647,0.27055401581333305,15.425158586038496,1.111457017464391,high
2,LOT_0043,W017,oxide_thickness,0.0100865392014384,64.08487037,0.2509045,0.6654606666666667,negative_only,negative,ASIC,14nm,60.52023466133333,3.2839797185108295,3.564635708666671,5.88998989933731,1.0854621566291667,high
2,LOT_0043,W017,temperature,0.0070120897144079,67.95896455,0.2509045,0.6654606666666667,negative_only,negative,ASIC,14nm,66.85811494746666,2.167014917493093,1.1008496025333443,1.646545977824628,0.5080027798326636,high
2,LOT_0043,W017,dose,0.0050821378827095,987000000000000.0,0.2509045,0.6654606666666667,negative_only,negative,ASIC,14nm,998546666666666.6,10067734565396.484,-11546666666666.625,-1.1563472246331294,-1.1468982015431093,low
3,LOT_0029,W009,critical_dimension,0.1263762861490249,31.36532583,0.21414378,0.71447496,negative_only,negative,ASIC,14nm,27.874665892,2.309121976360678,3.4906599380000003,12.522696958590593,1.511682783423082,high
3,LOT_0029,W009,thickness_uniformity,0.0536488033831119,2.123839851,0.21414378,0.71447496,negative_only,negative,ASIC,14nm,1.7539788271866668,0.24342283187801647,0.3698610238133333,21.086971967370342,1.519417958621315,high
3,LOT_0029,W009,oxide_thickness,0.0495244562625885,66.44471761,0.21414378,0.71447496,negative_only,negative,ASIC,14nm,60.52023466133333,3.2839797185108295,5.924482948666665,9.78925971077563,1.8040558878814135,high
3,LOT_0029,W009,temperature,0.0147594613954424,66.98476292,0.21414378,0.71447496,negative_only,negative,ASIC,14nm,66.85811494746666,2.167014917493093,0.12664797253333404,0.1894279738980864,0.058443516679342,high
3,LOT_0029,W009,tilt_angle,0.0060187634080648,6.989333809,0.21414378,0.71447496,negative_only,negative,ASIC,14nm,7.026507104146667,0.4836195460403119,-0.03717329514666723,-0.5290437281339844,-0.07686474910735704,low
4,LOT_0036,W002,critical_dimension,0.1433744579553604,28.54787147,0.3167112,0.5777184,negative_only,negative,Memory,22nm,28.4812106708,2.1389501389082084,0.06666079920000101,0.23405184550670677,0.031165195464940437,high
4,LOT_0036,W002,temperature,0.0117649734020233,72.06828816,0.3167112,0.5777184,negative_only,negative,Memory,22nm,67.306416566,2.5781041916230043,4.761871593999999,7.074914750898683,1.8470438889264573,high
